Section,Content
PRIIPSKIDTypeOption,This product is a UCITS Fund.
PRIIPsKIDTerm,"This Fund is an open-ended UCITS and has an indefinite duration. The
Fund may be terminated at any time in line with the constitutional
documents of the Company. For full investment objectives and policy
details, please refer to the Investment"
PRIIPsKIDObjective,"The Fund aims to achieve a return in excess of the TOPIX Total Return
Index (the ""Index"") and to maximise middle to long term growth through
investment in listed stocks in Japan."
PRIIPsKIDTargetMarket,"The Fund invests in Japanese equity and has a medium level of volatility.
This investment is more suitable for medium to long-term investors. The
Investment Manager recommends 3-5 years investment in the Fund.
The NAV per share of the Fund will be published daily and made
available on the internet at www.euronext.com and will be updated
following each calculation of NAV."
PRIIPsKIDOtherRisks,"companies with predominant commercial activities in Japan.
The performance of the Fund is measured against the Index, but stock
selection is not constrained by the Index.
Accumulation
Any income arising from the Fund will be accumulated and reinvested
on behalf of the holders of these accumulating shares.
Dealing
You may redeem your shares in the Fund on each business day, which
is any day (other than Saturday and Sunday) on which banks are
generally open for business in Ireland, the United Kingdom and Japan.
Other Information
These classes do not use currency hedging.
Intended investor:
The Fund invests in Japanese equity and has a medium level of volatility.
This investment is more suitable for medium to long-term investors. The
Investment Manager recommends 3-5 years investment in the Fund.
The NAV per share of the Fund will be published daily and made
available on the internet at www.euronext.com and will be updated
following each calculation of NAV.
Risk Indicator
The summary risk indicator is a guide to the level of risk of this product
compared to other products. It shows how likely it is that the product will
lose money because of movements in the markets or because we are not
able to pay you.
1
2
3
4
5
6
7
Lower risk
Higher risk
The risk indicator assumes you keep the product for 5
years.
The actual risk can vary significantly if you cash in at an
early stage and you might get back less.
!
We have classified this product as 4 out of 7, which is a medium risk
class. This rates the potential losses from future performance at a
medium level, and poor market conditions could impact the ability for
you to receive a positive return on your investment.
Be aware of currency risk. You will receive payments in a different
currency, so the final return you will get depends on the exchange rate
between the two currencies. This risk is not considered in the indicator
shown above. For other risks materially relevant to the product which
are not taken into account in the summary risk indicator, please read the
products
at
or
BBH.Dublin.TA@bbh.com.
This product does not include any protection from future market
performance so you could lose some or all of your investment.
Prospectus
available
Annual
Report
Performance Scenarios
The figures shown include all the costs of the product itself but may not include all the costs that you pay to your advisor or distributor. The figures do
not take into account your personal tax situation, which may also affect how much you get back.
What you will get from this product depends on future market performance. Market developments in the future are uncertain and cannot be
accurately predicted.
The unfavourable, moderate, and favourable scenarios shown are illustrations using the worst, average, and best performance of the product over the
last 5 years. Markets could develop very differently in the future.
The stress scenario shows what you might get back in extreme market circumstances.
Recommended holding period:
Example Investment:
5 years
10,000
If you exit after 1 year
If you exit after 5 years
Scenarios
Minimum
Stress
Unfavourable
Moderate
Favourable
There is no minimum guaranteed return if you exit before 5 years. You could lose some or all of your investment.
What you might get back after costs
Average return each year
What you might get back after costs
Average return each year
What you might get back after costs
Average return each year
What you might get back after costs
Average return each year
3,490
-65.06%
7,200
-28.03%
10,980
9.76%
15,060
50.56%
2,910
-21.87%
7,430
-5.76%
15,820
9.60%
20,850
15.83%
The unfavourable scenariooccurred for an investment between September 2021 and June 2023.
The moderate scenariooccurred for an investment between July 2014 and July 2019.
The favourable scenariooccurred for an investment between August 2013 and August 2018."
PRIIPsKIDUnableToPayOut,"Tokio Marine Asset Management Co., Ltd. is unable to pay out?
If we are not able to pay you out what we owe you, you are not covered by any national compensation scheme. To protect you, the assets are held
with a separate company, a depositary. Should we default, the depositary would liquidate the investments and distribute the proceeds to the
investors. In the worst case, however, you could lose your entire investment."
PRIIPsKIDTakeMoneyOutEarly,"Recommended holding period: 5 years. The fund has daily liquidity. The recommended holding period of the fund assumes the fund being the sole or
majority holding of the investor. The recommended holding period is primarily based on the historic volatility of the underlying investments and is not
directly applicable if used in a portfolio based on the investors risk profile. The fund is not intended for short term speculation purposes."
PRIIPsKIDComplaints,"As a shareholder in the Fund, you are entitled to make a complaint free of charge. Any such complaint must be handled by the management company
promptly and effectively. You also have the right to refer the relevant complaint to the Financial Services and Pensions Ombudsman after following
the Fund's complaints process if you are still not satisfied with the response received.
Further
tateam@bridgefundservices.com Address:Percy Exchange, 8/34 Percy Place, Dublin 4, D04 P5K3 and Tel: 00353 (0)1 566 9800.
the complaints policy
information on
is available
the Fund
relating
from
to
the Management Company, Email:"
PRIIPsKIDOtherInfoEU,"We are required to provide you with further documentation, such as the products latest Prospectus, Past Performance and Annual and Semi- annual
reports which are available at BBH.Dublin.TA@bbh.com., from the Administrator or the Investment Manager in English free of charge.
The cost, performance and risk calculations included in this KID follow the methodology prescribed by EU regulation. Past performance for the
previous 10 years and Historical performance scenarios are available in the below links.
https://docs.fundconnect.com/GetDocument.aspx?clientid=eudoetn6-ahvi-eyfi-n60i-tj1i5qyvyx9p&Isin=IE00B3ZYDS66&lang=en-GB&type=KPP
https://docs.fundconnect.com/GetDocument.aspx?clientid=eudoetn6-ahvi-eyfi-n60i-tj1i5qyvyx9p&Isin=IE00B3ZYDS66lang=en-GB&type=KMS"
PRIIPsKIDEntryCostDescription,We do not charge an entry fee
